"ID";"Description";"Country";"SkillDescription";"Description";"Amount";"Rating"
"224";"New York, New York";"US";"tableau";"analysis_software";12;0,0789474
"225";"New York, New York";"US";"zookeeper";"bigdata_tool";1;0,00657895
"226";"Paris";"France";"bash";"program_languages";3;0,0294118
"227";"Paris";"France";"c++";"program_languages";6;0,0588235
"228";"Paris";"France";"cassandra";"databases";1;0,00980392
"229";"Paris";"France";"d3";"analysis_software";5;0,0490196
"230";"Paris";"France";"excel";"analysis_software";3;0,0294118
"231";"Paris";"France";"hadoop";"bigdata_tool";19;0,186275
"232";"Paris";"France";"hbase";"databases";1;0,00980392
"233";"Paris";"France";"hive";"bigdata_tool";13;0,127451
"234";"Paris";"France";"java";"program_languages";22;0,215686
"235";"Paris";"France";"javascript";"program_languages";7;0,0686275
"236";"Paris";"France";"mahout";"bigdata_tool";1;0,00980392
"237";"Paris";"France";"matlab";"program_languages";7;0,0686275
"238";"Paris";"France";"numpy";"analysis_software";1;0,00980392
"239";"Paris";"France";"pandas";"analysis_software";1;0,00980392
"240";"Paris";"France";"perl";"program_languages";2;0,0196078
"241";"Paris";"France";"php";"program_languages";3;0,0294118
"242";"Paris";"France";"pig";"bigdata_tool";9;0,0882353
"243";"Paris";"France";"python";"program_languages";44;0,431373
"244";"Paris";"France";"r";"program_languages";45;0,441176
"245";"Paris";"France";"ruby";"program_languages";2;0,0196078
"246";"Paris";"France";"sas";"analysis_software";17;0,166667
"247";"Paris";"France";"scala";"program_languages";9;0,0882353
"248";"Paris";"France";"spark";"bigdata_tool";19;0,186275
"249";"Paris";"France";"spss";"analysis_software";5;0,0490196
"250";"Paris";"France";"sql";"databases";26;0,254902
"251";"Paris";"France";"tableau";"analysis_software";6;0,0588235
"252";"Seattle, Washington";"US";"bash";"program_languages";1;0,00649351
"253";"Seattle, Washington";"US";"c++";"program_languages";6;0,038961
"254";"Seattle, Washington";"US";"d3";"analysis_software";4;0,025974
"255";"Seattle, Washington";"US";"excel";"analysis_software";14;0,0909091
"256";"Seattle, Washington";"US";"hadoop";"bigdata_tool";29;0,188312
"257";"Seattle, Washington";"US";"hbase";"databases";1;0,00649351
"258";"Seattle, Washington";"US";"hive";"bigdata_tool";6;0,038961
